ACH-000800	9956119	-4.954243	-0.94
ACH-000848	5311	-8.33885	0.998
ACH-000378	216326	-4.69897	1.043
ACH-000706	9547945	-8.038818	1.078
ACH-002003	46907787	-6.954243	0.94625
ACH-000589	44462760	-8.815877	1.029
ACH-000277	25161177	-8.339849	0.927
ACH-000792	24821094	-6.430334	0.842
ACH-000045	11625818	-5.954243	0.746
ACH-000572	60750	-9.339849	1.009
ACH-000222	36314	-6.477122	0.0880000000000001
ACH-000687	5702198	-7.339849	0.948
ACH-000666	51371303	-8.339849	0.9575
ACH-000265	11626560	-7.430334	0.936
ACH-000329	11494412	-5.176091	-0.117
ACH-000885	24821094	-6.430334	0.881
ACH-000766	46907787	-6.0	0.40700000000000003
ACH-000895	71296921	-10.823909	1.096
ACH-000889	56949517	-7.561698	1.137
ACH-000293	9444	-6.606425	0.887
ACH-000768	176870	-8.33885	1.029
ACH-000054	5311	-6.430334	0.856
ACH-002004	11625818	-7.861697	1.013
ACH-000878	51371303	-8.81697	1.0234999999999999
ACH-000062	11676786	-6.431364	0.9773333333333333
ACH-000343	9444	-7.561698	0.933
ACH-000633	176870	-5.477121	0.901
ACH-000938	11676786	-5.954243	0.856
ACH-000521	60750	-6.0	0.82
ACH-000056	11494412	-7.560668	1.017
ACH-000654	126941	-7.862728	0.246
ACH-000906	9547945	-7.815934	0.997
ACH-000838	51371303	-7.385606	0.949
ACH-000914	72376	-8.038818	0.81
ACH-000603	67254077	-8.81697	0.995
ACH-001328	208908	-6.129303	0.656
ACH-000551	11625818	-7.384576	1.014
ACH-000986	11327430	-5.0	0.29
ACH-000278	5311	-7.861697	1.031
ACH-000652	17755052	-7.862728	0.975
ACH-000665	46907787	-8.384576	0.988
ACH-001151	36314	-7.430334	0.24
ACH-000695	44462760	-7.861697	0.982
ACH-000392	36462	-6.686636	0.486
ACH-002004	148124	-7.0	-0.096
ACH-000573	5702198	-6.209515	0.657
ACH-000178	25161177	-8.339849	0.95
ACH-000535	216326	-5.176091	1.083
ACH-000826	176870	-7.862728	0.981
ACH-000936	51371303	-6.431364	1.012
ACH-000577	46907787	-7.430334	0.985
ACH-000023	44462760	-7.861697	1.124
ACH-000195	5311	-7.384576	0.948
ACH-000552	17755052	-5.477121	0.706
ACH-000980	44462760	-6.430334	0.962
ACH-000311	46907787	-8.384576	1.012
ACH-000643	9907093	-4.69897	0.417
ACH-000858	11625818	-5.653213	0.959
ACH-000766	44462760	-8.81697	1.015
ACH-000759	36314	-7.430334	0.795
ACH-000910	56949517	-6.130334	0.983
ACH-000343	123631	-8.084577	1.044
ACH-000811	46907787	-8.384576	0.886
ACH-000380	24821094	-5.477121	0.9
ACH-000311	24180719	-5.653213	0.888
ACH-000731	25161177	-8.81697	0.968
ACH-000626	148124	-9.38405	0.966
ACH-000311	5330286	-5.954243	0.7685
ACH-000207	5330286	-6.130334	0.995
ACH-000657	208908	-7.560668	0.969
ACH-000477	17755052	-7.384576	0.73
ACH-000422	24821094	-8.33885	1.003
ACH-000562	11625818	-6.430334	0.961
ACH-000856	44462760	-5.0	0.627
ACH-000589	123631	-8.084577	0.978
ACH-000480	176870	-6.430334	0.949
ACH-000468	44462760	-5.0	0.594
ACH-000496	71296921	-10.339849	0.879
ACH-000969	17755052	-5.477121	0.9795
ACH-000825	44462760	-6.907455	1.142
ACH-000878	17755052	-5.954243	0.7635000000000001
ACH-000826	11625818	-8.51594	0.905
ACH-000479	208908	-6.606425	0.941
ACH-000094	176870	-5.0	0.385
ACH-000784	44462760	-5.0	0.997
ACH-000867	51371303	-6.431364	0.968
ACH-001333	24821094	-5.954243	0.485
ACH-000355	3385	-5.607455	0.7935
ACH-000776	176870	-7.861697	0.877
ACH-000900	24821094	-7.084576	1.028
ACH-000045	126941	-5.954243	-0.748
ACH-000186	3062316	-8.431364	0.889
ACH-000398	11626560	-7.430334	1.081
ACH-000378	24821094	-8.51594	1.0165
ACH-000213	11214940	-8.51594	0.986
ACH-000615	46907787	-8.861697	0.936
ACH-000886	5311	-7.861697	1.084
ACH-000162	148124	-8.907279	1.154
ACH-000624	5702198	-7.640879	1.005
ACH-000972	44462760	-6.430334	0.559
ACH-000876	11676786	-7.862728	1.008
ACH-000291	11494412	-6.606425	0.845
ACH-000336	9907093	-7.084576	1.069
ACH-000855	9547945	-4.954243	0.792
ACH-000866	11626560	-7.431364	0.939
ACH-000310	11676786	-7.385606	0.922
ACH-000138	5702198	-8.118	0.981
ACH-000205	36314	-5.522879	0.247
ACH-000980	148124	-9.860121	1.004
ACH-000860	25161177	-5.0	0.871
ACH-000660	24821094	-5.0	-0.797
ACH-000092	67254077	-6.954243	1.021
ACH-000745	44462760	-5.0	0.0129999999999999
ACH-000288	17755052	-7.385606	0.834
ACH-000739	46907787	-8.384576	1.028
ACH-000821	9444	-8.514847	1.034
ACH-001274	71296921	-10.337242	0.883
ACH-000819	24821094	-6.607455	1.026
ACH-000212	11626560	-9.339134	0.936
ACH-000307	71296921	-9.38405	0.908
ACH-000573	17755052	-8.33885	1.075
ACH-000012	11626560	-6.477122	0.988
ACH-000065	36314	-7.907455	0.872
ACH-000916	17755052	-7.862728	0.885
ACH-000804	5311	-5.954243	-0.052
ACH-001086	11494412	-4.69897	-0.166
ACH-000212	46907787	-7.907455	0.997
ACH-000433	9547945	-4.0	0.657
ACH-000845	216326	-8.51594	0.934
ACH-000250	46907787	-8.861697	0.942
ACH-000861	36314	-6.953212	-0.044
ACH-000482	36314	-6.953212	-0.554
ACH-000146	24821094	-6.607455	1.11
ACH-000845	60750	-8.385606	0.9464999999999999
ACH-000090	17755052	-7.385606	0.867
ACH-000757	36314	-11.118	0.715
ACH-000259	9444	-7.560668	0.952
ACH-001820	11676786	-8.81697	0.946
ACH-001190	9444	-7.083546	0.9
ACH-000781	25262965	-8.51594	0.972
ACH-000666	5328940	-6.130334	0.879
ACH-000640	56949517	-4.69897	0.681
ACH-000433	208908	-7.560668	0.91
ACH-000573	5311	-5.477121	0.445
ACH-000186	208908	-8.038818	1.022
ACH-000231	24821094	-5.954243	1.033
ACH-000966	11676786	-6.908485	1.006
ACH-000046	11626560	-9.339134	0.895
ACH-000343	11152667	-8.038818	1.005
ACH-000484	46907787	-6.954243	0.754
ACH-000759	216326	-8.51594	1.02
ACH-000092	36462	-8.118	1.008
ACH-000463	5330286	-8.81697	1.006
ACH-000243	60750	-9.81697	0.937
ACH-000017	24821094	-6.907455	-0.469
ACH-000935	25161177	-6.908485	1.039
ACH-000759	126941	-5.477121	0.346
ACH-000811	17755052	-8.339849	0.899
ACH-000861	176870	-7.385606	1.044
ACH-000019	9907093	-8.038818	1.048
ACH-000783	3062316	-10.339849	1.005
